name,email,industry,message,label,rule_label,ai_label,final_label
Eve Smith,eve.smith33@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Bob Smith,bob.smith34@example.com,healthcare,can you share pricing information,Warm,Warm,Warm,Warm
Frank Taylor,frank.taylor35@example.com,tech,maybe later still evaluating options,Warm,Cold,Warm,Warm
Jack Wilson,jack.wilson36@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Grace Miller,grace.miller37@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Ivy Johnson,ivy.johnson38@example.com,retail,can you share pricing information,Warm,Warm,Warm,Warm
Eve Brown,eve.brown39@example.com,consulting,not looking for services currently,Cold,Warm,Cold,Warm
Hank Williams,hank.williams40@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Grace Jones,grace.jones41@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Alice Davis,alice.davis42@example.com,healthcare,im interested but need more details,Warm,Warm,Warm,Warm
Alice Brown,alice.brown43@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Diana Smith,diana.smith44@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Smith,eve.smith45@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Bob Jones,bob.jones46@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Brown,bob.brown47@example.com,consulting,i need a quote for our project,Hot,Cold,Hot,Hot
Hank Wilson,hank.wilson48@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Frank Garcia,frank.garcia49@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Diana Garcia,diana.garcia50@example.com,retail,maybe later still evaluating options,Warm,Cold,Warm,Warm
Charlie Johnson,charlie.johnson51@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Johnson,grace.johnson52@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Frank Davis,frank.davis53@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Jack Miller,jack.miller54@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Hank Smith,hank.smith55@example.com,retail,please send me the proposal asap,Hot,Hot,Hot,Hot
Eve Davis,eve.davis56@example.com,consulting,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Bob Wilson,bob.wilson57@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Bob Brown,bob.brown58@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Grace Taylor,grace.taylor59@example.com,finance,looking to hire your services immediately,Hot,Warm,Hot,Hot
Hank Davis,hank.davis60@example.com,retail,not looking for services currently,Cold,Warm,Cold,Warm
Eve Johnson,eve.johnson61@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Brown,frank.brown62@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Hank Jones,hank.jones63@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Bob Brown,bob.brown64@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Miller,grace.miller65@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Taylor,alice.taylor66@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Ivy Garcia,ivy.garcia67@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Charlie Wilson,charlie.wilson68@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Brown,hank.brown69@example.com,retail,not looking for services currently,Cold,Warm,Cold,Warm
Diana Brown,diana.brown70@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Frank Miller,frank.miller71@example.com,healthcare,looking to hire your services immediately,Hot,Warm,Hot,Hot
Frank Davis,frank.davis72@example.com,consulting,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Bob Taylor,bob.taylor73@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Hank Taylor,hank.taylor74@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Garcia,bob.garcia75@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Garcia,jack.garcia76@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Jack Smith,jack.smith77@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Frank Brown,frank.brown78@example.com,finance,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Ivy Wilson,ivy.wilson79@example.com,consulting,maybe later still evaluating options,Warm,Cold,Warm,Warm
Frank Jones,frank.jones80@example.com,consulting,im interested but need more details,Warm,Warm,Warm,Warm
Eve Wilson,eve.wilson81@example.com,retail,can you share pricing information,Warm,Warm,Warm,Warm
Jack Wilson,jack.wilson82@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Jack Taylor,jack.taylor83@example.com,education,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Wilson,bob.wilson84@example.com,marketing,could you send me a brochure,Warm,Cold,Warm,Warm
Charlie Johnson,charlie.johnson85@example.com,healthcare,please send me the proposal asap,Hot,Hot,Hot,Hot
Alice Jones,alice.jones86@example.com,education,maybe later still evaluating options,Warm,Warm,Warm,Warm
Ivy Garcia,ivy.garcia87@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Eve Wilson,eve.wilson88@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Charlie Jones,charlie.jones89@example.com,consulting,i am just curious about your offerings,Cold,Cold,Cold,Cold
Hank Miller,hank.miller90@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Brown,alice.brown91@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Taylor,charlie.taylor92@example.com,marketing,im interested but need more details,Warm,Warm,Warm,Warm
Ivy Wilson,ivy.wilson93@example.com,finance,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Ivy Garcia,ivy.garcia94@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Eve Williams,eve.williams95@example.com,marketing,can you share pricing information,Warm,Warm,Warm,Warm
Frank Wilson,frank.wilson96@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Jones,ivy.jones97@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Eve Johnson,eve.johnson98@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Davis,eve.davis99@example.com,finance,looking to hire your services immediately,Hot,Warm,Hot,Hot
Alice Wilson,alice.wilson100@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Johnson,ivy.johnson101@example.com,retail,we are ready to purchase now,Hot,Hot,Hot,Hot
Frank Brown,frank.brown102@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Eve Garcia,eve.garcia103@example.com,marketing,looking for information about your services,Warm,Warm,Warm,Warm
Alice Davis,alice.davis104@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Diana Garcia,diana.garcia105@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Ivy Johnson,ivy.johnson106@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Brown,ivy.brown107@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Charlie Taylor,charlie.taylor108@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Jack Jones,jack.jones109@example.com,finance,not looking for services currently,Cold,Warm,Cold,Warm
Jack Wilson,jack.wilson110@example.com,tech,we are ready to purchase now,Hot,Hot,Hot,Hot
Eve Miller,eve.miller111@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Smith,bob.smith112@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Brown,ivy.brown113@example.com,education,i am just curious about your offerings,Cold,Warm,Cold,Warm
Jack Jones,jack.jones114@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Grace Wilson,grace.wilson115@example.com,healthcare,maybe later still evaluating options,Warm,Cold,Warm,Warm
Bob Taylor,bob.taylor116@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Johnson,ivy.johnson117@example.com,retail,could you send me a brochure,Warm,Cold,Warm,Warm
Frank Brown,frank.brown118@example.com,retail,please send me the proposal asap,Hot,Hot,Hot,Hot
Hank Brown,hank.brown119@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Charlie Garcia,charlie.garcia120@example.com,finance,maybe later still evaluating options,Warm,Cold,Warm,Warm
Grace Wilson,grace.wilson121@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Hank Davis,hank.davis122@example.com,marketing,can you share pricing information,Warm,Warm,Warm,Warm
Eve Williams,eve.williams123@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Alice Taylor,alice.taylor124@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Ivy Davis,ivy.davis125@example.com,education,looking for information about your services,Warm,Warm,Warm,Warm
Ivy Williams,ivy.williams126@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Diana Jones,diana.jones127@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Davis,frank.davis128@example.com,finance,looking for information about your services,Warm,Warm,Warm,Warm
Grace Brown,grace.brown129@example.com,consulting,maybe later still evaluating options,Warm,Cold,Warm,Warm
Diana Wilson,diana.wilson130@example.com,healthcare,im interested but need more details,Warm,Warm,Warm,Warm
Ivy Davis,ivy.davis131@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Eve Williams,eve.williams132@example.com,marketing,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Jack Johnson,jack.johnson133@example.com,tech,im interested but need more details,Warm,Warm,Warm,Warm
Ivy Jones,ivy.jones134@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Eve Johnson,eve.johnson135@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Alice Brown,alice.brown136@example.com,marketing,could you send me a brochure,Warm,Cold,Warm,Warm
Bob Davis,bob.davis137@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Grace Wilson,grace.wilson138@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Frank Smith,frank.smith139@example.com,consulting,please send me the proposal asap,Hot,Hot,Hot,Hot
Charlie Davis,charlie.davis140@example.com,tech,looking to hire your services immediately,Hot,Warm,Hot,Hot
Ivy Garcia,ivy.garcia141@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Jack Williams,jack.williams142@example.com,finance,maybe later still evaluating options,Warm,Cold,Warm,Warm
Ivy Williams,ivy.williams143@example.com,healthcare,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Charlie Williams,charlie.williams144@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Grace Garcia,grace.garcia145@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Alice Davis,alice.davis146@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Eve Brown,eve.brown147@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Brown,ivy.brown148@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Grace Jones,grace.jones149@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Charlie Jones,charlie.jones150@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Bob Brown,bob.brown151@example.com,marketing,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Bob Garcia,bob.garcia152@example.com,retail,i need a quote for our project,Hot,Cold,Hot,Hot
Eve Garcia,eve.garcia153@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Wilson,frank.wilson154@example.com,marketing,i need a quote for our project,Hot,Cold,Hot,Hot
Frank Smith,frank.smith155@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Hank Wilson,hank.wilson156@example.com,finance,maybe later still evaluating options,Warm,Cold,Warm,Warm
Frank Taylor,frank.taylor157@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Diana Taylor,diana.taylor158@example.com,marketing,could you send me a brochure,Warm,Cold,Warm,Warm
Hank Smith,hank.smith159@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Hank Jones,hank.jones160@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Smith,bob.smith161@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Bob Wilson,bob.wilson162@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Frank Jones,frank.jones163@example.com,retail,we are ready to purchase now,Hot,Hot,Hot,Hot
Alice Johnson,alice.johnson164@example.com,marketing,not looking for services currently,Cold,Warm,Cold,Warm
Eve Wilson,eve.wilson165@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Diana Smith,diana.smith166@example.com,marketing,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Charlie Taylor,charlie.taylor167@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Charlie Johnson,charlie.johnson168@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Diana Smith,diana.smith169@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Frank Williams,frank.williams170@example.com,healthcare,looking to hire your services immediately,Hot,Warm,Hot,Hot
Ivy Williams,ivy.williams171@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Hank Davis,hank.davis172@example.com,education,can you share pricing information,Warm,Warm,Warm,Warm
Bob Wilson,bob.wilson173@example.com,tech,please send me the proposal asap,Hot,Hot,Hot,Hot
Ivy Wilson,ivy.wilson174@example.com,tech,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Ivy Williams,ivy.williams175@example.com,consulting,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Frank Miller,frank.miller176@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Frank Smith,frank.smith177@example.com,finance,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Diana Brown,diana.brown178@example.com,healthcare,can you share pricing information,Warm,Warm,Warm,Warm
Eve Williams,eve.williams179@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Frank Miller,frank.miller180@example.com,healthcare,i am just curious about your offerings,Cold,Cold,Cold,Cold
Alice Taylor,alice.taylor181@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Wilson,hank.wilson182@example.com,education,we are ready to purchase now,Hot,Hot,Hot,Hot
Hank Taylor,hank.taylor183@example.com,finance,looking for information about your services,Warm,Warm,Warm,Warm
Jack Johnson,jack.johnson184@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Alice Smith,alice.smith185@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Diana Johnson,diana.johnson186@example.com,consulting,we are ready to purchase now,Hot,Hot,Hot,Hot
Charlie Smith,charlie.smith187@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Ivy Williams,ivy.williams188@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Jack Davis,jack.davis189@example.com,marketing,can you share pricing information,Warm,Warm,Warm,Warm
Grace Davis,grace.davis190@example.com,finance,i am just curious about your offerings,Cold,Cold,Cold,Cold
Bob Johnson,bob.johnson191@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Davis,frank.davis192@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Brown,ivy.brown193@example.com,education,we are ready to purchase now,Hot,Hot,Hot,Hot
Diana Miller,diana.miller194@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Bob Smith,bob.smith195@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Jones,hank.jones196@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Williams,hank.williams197@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Alice Johnson,alice.johnson198@example.com,finance,i need a quote for our project,Hot,Cold,Hot,Hot
Ivy Jones,ivy.jones199@example.com,marketing,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Hank Taylor,hank.taylor200@example.com,retail,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Davis,ivy.davis201@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Charlie Taylor,charlie.taylor202@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Jack Jones,jack.jones203@example.com,retail,i am just curious about your offerings,Cold,Cold,Cold,Cold
Diana Smith,diana.smith204@example.com,marketing,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Eve Davis,eve.davis205@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Charlie Taylor,charlie.taylor206@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Eve Smith,eve.smith207@example.com,consulting,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Wilson,charlie.wilson208@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Frank Brown,frank.brown209@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Hank Miller,hank.miller210@example.com,retail,im interested but need more details,Warm,Warm,Warm,Warm
Alice Williams,alice.williams211@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Grace Williams,grace.williams212@example.com,consulting,could you send me a brochure,Warm,Cold,Warm,Warm
Eve Garcia,eve.garcia213@example.com,marketing,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Ivy Garcia,ivy.garcia214@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Williams,frank.williams215@example.com,marketing,just browsing your website,Cold,Cold,Cold,Cold
Eve Williams,eve.williams216@example.com,tech,looking for information about your services,Warm,Warm,Warm,Warm
Jack Garcia,jack.garcia217@example.com,healthcare,we are ready to purchase now,Hot,Hot,Hot,Hot
Charlie Miller,charlie.miller218@example.com,tech,maybe later still evaluating options,Warm,Cold,Warm,Warm
Grace Garcia,grace.garcia219@example.com,healthcare,please send me the proposal asap,Hot,Hot,Hot,Hot
Charlie Miller,charlie.miller220@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Miller,frank.miller221@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Diana Jones,diana.jones222@example.com,finance,can you share pricing information,Warm,Warm,Warm,Warm
Hank Garcia,hank.garcia223@example.com,marketing,we are ready to purchase now,Hot,Hot,Hot,Hot
Ivy Smith,ivy.smith224@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Diana Johnson,diana.johnson225@example.com,finance,could you send me a brochure,Warm,Cold,Warm,Warm
Alice Wilson,alice.wilson226@example.com,marketing,can you share pricing information,Warm,Warm,Warm,Warm
Charlie Brown,charlie.brown227@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Frank Taylor,frank.taylor228@example.com,tech,no immediate plans to buy,Cold,Hot,Cold,Hot
Jack Jones,jack.jones229@example.com,healthcare,i need a quote for our project,Hot,Cold,Hot,Hot
Eve Jones,eve.jones230@example.com,marketing,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Taylor,alice.taylor231@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Charlie Smith,charlie.smith232@example.com,retail,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Miller,hank.miller233@example.com,education,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Jack Brown,jack.brown234@example.com,education,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Miller,charlie.miller235@example.com,healthcare,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Garcia,hank.garcia236@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Diana Wilson,diana.wilson237@example.com,tech,not looking for services currently,Cold,Warm,Cold,Warm
Charlie Brown,charlie.brown238@example.com,education,can you share pricing information,Warm,Warm,Warm,Warm
Frank Davis,frank.davis239@example.com,marketing,i am just curious about your offerings,Cold,Cold,Cold,Cold
Alice Johnson,alice.johnson240@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Hank Jones,hank.jones241@example.com,finance,just browsing your website,Cold,Cold,Cold,Cold
Ivy Garcia,ivy.garcia242@example.com,education,i need a quote for our project,Hot,Warm,Hot,Hot
Bob Garcia,bob.garcia243@example.com,retail,looking to hire your services immediately,Hot,Warm,Hot,Hot
Charlie Garcia,charlie.garcia244@example.com,tech,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Bob Brown,bob.brown245@example.com,tech,looking to hire your services immediately,Hot,Warm,Hot,Hot
Eve Smith,eve.smith246@example.com,healthcare,could you send me a brochure,Warm,Cold,Warm,Warm
Alice Jones,alice.jones247@example.com,healthcare,not looking for services currently,Cold,Warm,Cold,Warm
Alice Davis,alice.davis248@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Jack Jones,jack.jones249@example.com,education,maybe in the future i will contact you,Cold,Warm,Cold,Warm
Ivy Wilson,ivy.wilson250@example.com,retail,just browsing your website,Cold,Cold,Cold,Cold
Diana Miller,diana.miller251@example.com,consulting,i need a quote for our project,Hot,Cold,Hot,Hot
Jack Garcia,jack.garcia252@example.com,marketing,no immediate plans to buy,Cold,Hot,Cold,Hot
Ivy Smith,ivy.smith253@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Charlie Jones,charlie.jones254@example.com,healthcare,can you share pricing information,Warm,Warm,Warm,Warm
Ivy Wilson,ivy.wilson255@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Ivy Wilson,ivy.wilson256@example.com,education,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Grace Garcia,grace.garcia257@example.com,finance,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Brown,hank.brown258@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Bob Davis,bob.davis259@example.com,education,maybe later still evaluating options,Warm,Warm,Warm,Warm
Hank Garcia,hank.garcia260@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Alice Miller,alice.miller261@example.com,finance,looking to hire your services immediately,Hot,Warm,Hot,Hot
Eve Miller,eve.miller262@example.com,consulting,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Bob Smith,bob.smith263@example.com,consulting,looking for information about your services,Warm,Warm,Warm,Warm
Charlie Wilson,charlie.wilson264@example.com,consulting,no immediate plans to buy,Cold,Hot,Cold,Hot
Hank Wilson,hank.wilson265@example.com,consulting,i need a quote for our project,Hot,Cold,Hot,Hot
Alice Jones,alice.jones266@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Charlie Smith,charlie.smith267@example.com,tech,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Eve Garcia,eve.garcia268@example.com,education,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Ivy Garcia,ivy.garcia269@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Hank Davis,hank.davis270@example.com,retail,looking for information about your services,Warm,Warm,Warm,Warm
Frank Johnson,frank.johnson271@example.com,healthcare,just browsing your website,Cold,Cold,Cold,Cold
Alice Miller,alice.miller272@example.com,tech,can you share pricing information,Warm,Warm,Warm,Warm
Eve Smith,eve.smith273@example.com,healthcare,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Grace Miller,grace.miller274@example.com,consulting,just browsing your website,Cold,Cold,Cold,Cold
Frank Williams,frank.williams275@example.com,consulting,looking to hire your services immediately,Hot,Warm,Hot,Hot
Jack Davis,jack.davis276@example.com,education,im interested but need more details,Warm,Warm,Warm,Warm
Grace Miller,grace.miller277@example.com,tech,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Hank Garcia,hank.garcia278@example.com,education,could you send me a brochure,Warm,Warm,Warm,Warm
Alice Garcia,alice.garcia279@example.com,tech,just browsing your website,Cold,Cold,Cold,Cold
Frank Smith,frank.smith280@example.com,retail,schedule a meeting to discuss the order,Hot,Hot,Hot,Hot
Diana Williams,diana.williams281@example.com,education,just browsing your website,Cold,Warm,Cold,Warm
Ivy Taylor,ivy.taylor282@example.com,tech,could you send me a brochure,Warm,Cold,Warm,Warm
Hank Garcia,hank.garcia283@example.com,marketing,i want a demo for enterprise solution,Hot,Hot,Hot,Hot
Hank Davis,hank.davis284@example.com,finance,maybe in the future i will contact you,Cold,Cold,Cold,Cold
Diana Wilson,diana.wilson285@example.com,tech,i am just curious about your offerings,Cold,Cold,Cold,Cold
Eve Johnson,eve.johnson286@example.com,marketing,maybe later still evaluating options,Warm,Cold,Warm,Warm
Diana Davis,diana.davis287@example.com,finance,maybe later still evaluating options,Warm,Cold,Warm,Warm
